Date,Hour,Minute,Volume
20170103,5,45,17873.90
20170103,6,0,18345.30
20170103,6,15,19519.60
20170103,6,30,20261.90
20170103,6,45,20918.70
20170103,7,0,21545.30
20170103,7,15,21796.00
20170103,7,30,22199.70
20170103,7,45,22031.80
20170103,8,0,22407.10
20170103,8,15,22734.40
20170103,8,30,22944.00
20170103,8,45,23215.40
20170103,9,0,23341.70
20170103,9,15,23320.10
20170103,9,30,23372.10
20170103,9,45,23258.20
20170103,10,0,23428.30
20170103,10,15,23254.90
20170103,10,30,23601.20
20170103,10,45,23570.20
20170103,11,0,23805.20
20170103,11,15,23785.70
20170103,11,30,23810.00
20170103,11,45,23677.40
20170103,12,0,23752.60
20170103,12,15,23788.70
20170103,12,30,23787.50
20170103,12,45,23842.90
20170103,13,0,23862.10
20170103,13,15,24287.10
20170103,13,30,24175.70
20170103,13,45,23841.50
20170103,14,0,23614.10
20170103,14,15,23636.90
20170103,14,30,23728.40
20170103,14,45,23532.50
20170103,15,0,23513.70
20170103,15,15,23232.90
20170103,15,30,23546.20
20170103,15,45,23731.00
20170103,16,0,24059.50
20170103,16,15,24196.70
20170103,16,30,24539.80
20170103,16,45,24531.70
20170103,17,0,24610.10
20170103,17,15,24519.10
20170103,17,30,24330.40
20170103,17,45,24141.80
20170103,18,0,24130.70
20170103,18,15,23875.40
20170103,18,30,24001.90
20170103,18,45,24127.30
20170103,19,0,23887.30
20170103,19,15,23918.10
20170103,19,30,23826.90
20170103,19,45,23849.70
20170103,20,0,23412.60
20170103,20,15,23091.60
20170103,20,30,23091.00
20170103,20,45,22910.70
20170103,21,0,22384.90
20170103,21,15,21998.70
20170103,21,30,21747.20
20170103,21,45,21141.70
20170103,22,0,20500.20
20170103,22,15,20306.40
20170103,22,30,20119.30
20170103,22,45,19569.20
20170103,23,0,19320.60
20170103,23,15,18960.70
20170103,23,30,18783.70
20170103,23,45,18503.50
20170103,24,0,18110.40
20170104,0,15,18176.30
20170104,0,30,17928.10
20170104,0,45,18031.00
20170104,1,0,18124.30
20170104,1,15,18325.00
20170104,1,30,18093.80
20170104,1,45,18139.40
20170104,2,0,17930.70
20170104,2,15,17874.50
20170104,2,30,17941.20
20170104,2,45,17965.90
20170104,3,0,18028.60
20170104,3,15,18125.80
20170104,3,30,18029.80
